source,target,before,after,delta
11,16,0.4146407440337774,0.414640744034559,7.815970093361102e-13
11,19,0.40844739046437634,0.4084473904643923,1.5987211554602254e-14
11,24,0.4345882233140468,0.434588223314333,2.8621549574836536e-13
11,32,0.41368870098846067,0.4136887009885269,6.622480341889059e-14
12,2,0.4120575298130856,0.41205752981327204,1.8646195698579504e-13
12,4,0.43453634114845513,0.4345363411502105,1.755373624234835e-12
12,7,0.41310114895312877,0.4131011489533507,2.219335826225688e-13
12,9,0.41555827966684955,0.415558279671603,4.753475391083839e-12
12,15,0.42819557311244133,0.42819557311267026,2.289279876777073e-13
12,17,0.4105289599585138,0.4105289600044708,4.595701597054358e-11
12,20,0.40982752065880446,0.40982752066613604,7.331579787717146e-12
12,25,0.41811714075154127,0.41811714081314594,6.160466581306423e-11
12,33,0.4310134412103032,0.4310134412356598,2.5356605704018875e-11
13,3,0.4267620301054394,0.4267620301217658,1.632638468862524e-11
13,5,0.4018305506745179,0.40183055075477264,8.025474729222992e-11
13,8,0.4287132132176881,0.42871321331105305,9.336492690081855e-11
13,10,0.42644193916797735,0.4264419391926661,2.4688751043555612e-11
13,16,0.408403470107337,0.4084034702044588,9.712175508269638e-11
13,18,0.40713663558958524,0.40713663580663656,2.1705132136062844e-10
13,21,0.40853647589104164,0.4085364772759492,1.3849075775063113e-09
13,26,0.42939638688652726,0.4293963882080362,1.3215089578189065e-09
13,34,0.40965385109804686,0.40965385368497875,2.5869318909244043e-09
14,1,0.4332494144816294,0.4332494144816294,0.0
14,6,0.42807131109751734,0.42807131109751734,0.0
14,9,0.4248684677158562,0.4248684677158825,2.631228568361621e-14
14,11,0.4133088569393083,0.4133088569393083,0.0
14,19,0.416887325581521,0.416887325581521,0.0
14,22,0.407762548193062,0.4077625481931216,5.956346527113965e-14
14,27,0.41307021366122243,0.4130702136612238,1.3877787807814457e-15
14,35,0.40288299586524245,0.40288299586530335,6.089573290068984e-14
15,2,0.42016626856917033,0.42016626856918315,1.2823075934420558e-14
15,7,0.4274567796625477,0.4274567796625573,9.603429163007604e-15
15,10,0.4407423665013269,0.4407423665013792,5.229150445984487e-14
15,12,0.3984033083881183,0.3984033083882987,1.8035573035035668e-13
15,20,0.42742115237427586,0.4274211523746029,3.2701619190333986e-13
15,23,0.40597886678037165,0.40597886678041656,4.490852134608758e-14
15,28,0.4201150183058744,0.420115018305902,2.758904216193514e-14
15,36,0.4191711458705392,0.41917114587057014,3.091971123581061e-14
16,3,0.42972875474063066,0.4297287547449146,4.28396207396986e-12
16,8,0.4049470892496581,0.4049470892697387,2.0080603846395206e-11
16,11,0.4198454018947206,0.41984540189633524,1.6146528558635964e-12
16,13,0.41727317775263123,0.417273177797892,4.5260795111801144e-11
16,21,0.426560589245522,0.426560589407161,1.6163903548971348e-10
16,24,0.4079219080071692,0.4079219080137258,6.556588605377556e-12
16,29,0.4349647742125908,0.4349647742953048,8.27140023140771e-11
16,37,0.4112991499278702,0.4112991499587341,3.0863922528823196e-11
16,50,0.4341810807421708,0.4341810808392862,9.711537130030479e-11
17,4,0.4329456841963498,0.4329456842564612,6.011136033379216e-11
17,9,0.4393478378967625,0.43934783806088873,1.6412621262062999e-10
17,12,0.4135833252385289,0.4135833253782334,1.3970447021449672e-10
17,22,0.40886274965019903,0.4088627500219042,3.717051666463078e-10
17,25,0.42319167444383715,0.42319167719653816,2.7527010115768746e-09
17,30,0.4291168244835881,0.42911682802834666,3.544758542251003e-09
17,38,0.4186045023981003,0.41860451136166577,8.96356544544119e-09
17,51,0.4413722469287006,0.4413722655845412,1.865584059457248e-08
18,5,0.4279653439658915,0.42796534400754344,4.165195965910584e-11
18,10,0.409892674928443,0.40989267494395937,1.5516365969858725e-11
