brain,repetition,cue,experience_strength_sum,experience_strength_mean
1,54,F,241.26456447603078,1.0052690186501283
1,54,A,220.01883806712362,0.9167451586130151
1,55,A,221.38105411463914,0.9224210588109965
1,55,F,241.6395531560715,1.0068314714836313
1,56,F,243.34529278825352,1.0139387199510563
1,56,A,221.72224917965812,0.9238427049152421
1,57,A,223.0434211730465,0.9293475882210271
1,57,F,243.74322247470133,1.0155967603112555
1,58,F,245.4020888842391,1.0225087036843297
1,58,A,223.34506628368428,0.9306044428486845
1,59,A,224.66483401527387,0.9361034750636411
1,59,F,245.76841249991278,1.02403505208297
1,60,F,247.36010439388673,1.0306671016411948
1,60,A,224.96269388640735,0.9373445578600307
1,61,A,226.24520372093616,0.942688348837234
1,61,F,247.6978001591639,1.0320741673298497
1,62,F,249.28142185862583,1.0386725910776076
1,62,A,226.4996312978739,0.9437484637411412
1,63,A,227.74580507638447,0.9489408544849353
1,63,F,249.5862550972506,1.0399427295718775
1,64,F,251.17224686116242,1.0465510285881767
1,64,A,227.98020660947927,0.949917527539497
1,65,A,229.22246480301789,0.9550936033459079
1,65,F,251.43798092569395,1.047658253857058
1,66,F,253.031858981556,1.05429941242315
1,66,A,229.45186339660415,0.9560494308191839
1,67,A,230.68991214559307,0.9612079672733045
1,67,F,253.2866110394143,1.055360879330893
1,68,F,254.87702631830035,1.0619876096595848
1,68,A,230.89918078789054,0.9620799199495439
1,69,A,232.1293109428578,0.9672054622619075
1,69,F,255.11098265656392,1.062962427735683
1,70,F,256.69401646517105,1.0695584019382127
1,70,A,232.31767497896186,0.9679903124123411
1,71,A,233.55218561166257,0.9731341067152607
1,71,F,256.9086542442974,1.0704527260179058
1,72,F,258.5004892488785,1.0770853718703273
1,72,A,233.72140512387526,0.9738391880161469
1,73,A,234.9601426568396,0.9790005944034983
1,73,F,258.6858415221617,1.077857673009007
1,74,F,260.26194945293463,1.0844247893872276
1,74,A,235.10584753956294,0.9796076980815123
1,75,A,236.3372149069184,0.9847383954454934
1,75,F,260.4180102361505,1.085075042650627
1,76,F,261.99350950923326,1.0916396229551386
1,76,A,236.47338971976643,0.9853057904990268
1,77,A,237.66913816158902,0.9902880756732876
1,77,F,262.12231621258513,1.0921763175524382
1,78,F,263.6892630968706,1.0987052629036276
1,78,A,237.79142014744815,0.9907975839477007
1,79,A,238.95750541988843,0.9956562725828685
1,79,F,263.8198788092408,1.0992494950385032
1,80,F,265.39330909523466,1.1058054545634777
1,80,A,239.0622346249655,0.9960926442706896
1,81,A,240.22910001459496,1.0009545833941458
1,81,F,265.5022553735392,1.1062593973897465
1,82,F,267.0765895677385,1.1128191231989104
1,82,A,240.31278295912804,1.0013032623297002
1,83,A,241.49050423862408,1.0062104343276004
1,83,F,267.1733599013937,1.1132223329224737
1,84,F,268.74972070775425,1.119790502948976
1,84,A,241.56093938448697,1.006503914102029
1,85,A,242.7391207267099,1.011413003027958
1,85,F,268.84305050287355,1.1201793770953066
1,86,F,270.4309876969323,1.1267957820705512
1,86,A,242.78463426836174,1.0116026427848406
1,87,A,243.97187958432184,1.0165494982680077
1,87,F,270.51791661338336,1.1271579858890974
1,88,F,272.08566851723674,1.1336902854884865
1,88,A,243.9811939886338,1.0165883082859741
1,89,A,245.16252299338055,1.0215105124724189
1,89,F,272.1040383497396,1.1337668264572482
1,90,F,273.6540702596551,1.140225292748563
1,90,A,245.12125926004373,1.0213385802501822
1,91,A,246.28266092105275,1.0261777538377197
1,91,F,273.6439953850221,1.1401833141042588
1,92,F,275.1705453097761,1.146543938790734
1,92,A,246.22987918962957,1.02595782995679
1,93,A,247.37958971989184,1.0307482904995493
1,93,F,275.13370514961275,1.1463904381233865
1,94,F,276.6486784123242,1.1527028267180175
1,94,A,247.31059840553706,1.0304608266897377
1,95,A,248.45670903828892,1.0352362876595371
1,95,F,276.59370234378144,1.152473759765756
